sku;catalog_desc;id_product;similar_desc;elastic_score;normalized_score
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;30128450;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;48.141262;100.0
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;29889586;COLCHAO CASAL MOLA ENSACADA GULDI MACIO 25X138X188 AZUL E BRANCO;42.247303;87.75694953738439
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;60392290;COLCHAO CASAL MOLA ENSACADA GULDI MACIO 25X138X188;39.67923;82.42249652699175
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;29635753;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;35.78592;74.33523450216157
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;29747688;COLCHAO KING MOLA ENSACADA GULDI FIRME 25X193X203 AZUL E BRANCO;35.78592;74.33523450216157
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;29603044;COLCHAO SOLTEIRO MOLA ENSACADA GULDI FIRME 25X88X188 AZUL E BRANCO;35.78592;74.33523450216157
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;45537870;COLCHAO QUEEN MOLA ENSACADA GULDI 25X158X198 BRANCO E AZUL;31.251505;64.91625624604524
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;52013462;COLCHAO KING MOLA ENSACADA GULDI 25X193X203 BRANCO E AZUL;31.251505;64.91625624604524
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;51581428;COLCHAO SOLTEIRO MOLA ENSACADA GULDI 25X88X188 BRANCO E AZUL;31.251505;64.91625624604524
GU364UP32VFFMOB-624274;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;79729034;CAMA BOX KING COM COLCHAO MOLA ENSACADA MOLA ENSACADA GULDI MACIO BRANCO E AZUL;29.98646;62.288479267535614
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;37388871;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;27.940283;100.0
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;27377138;SOFA CAMA CASAL 3 LUGARES PREMIUM SUEDE VERMELHO;24.598686;88.04021777445847
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;36927396;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE MARROM;24.598686;88.04021777445847
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;30304300;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE VELVET BEGE;23.479889;84.03597415244505
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;22515877;SOFA CAMA 3 LUGARES CASAL PREMIUM II SUEDE CAFE;23.479889;84.03597415244505
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;110697589;SOFA CAMA BLANCA 3 LUGARES SALA PREMIUM SUEDE CINZA MATRIX;22.89878;81.95614911989259
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;61655333;SOFA CAMA 3 LUGARES CASAL RADIANCE SUEDE CINZA;22.782217;81.53896293749064
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;29317036;SOFA CAMA CASAL 3 LUGARES ANITTA SUEDE CINZA;22.782217;81.53896293749064
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;57029941;SOFA CAMA 3 LUGARES CASAL AGIO SUEDE CINZA;22.782217;81.53896293749064
LI582UP22JZHMOB-204089;SOFA CAMA 3 LUGARES CASAL PREMIUM SUEDE CINZA;75418079;SOFA CAMA 3 LUGARES CASAL ANELISE SUEDE CINZA;22.782217;81.53896293749064
GU364UP31VFGMOB-624275;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;29635753;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;49.63393;100.0
GU364UP31VFGMOB-624275;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;45537870;COLCHAO QUEEN MOLA ENSACADA GULDI 25X158X198 BRANCO E AZUL;45.72935;92.13324433507482
GU364UP31VFGMOB-624275;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;28772989;COLCHAO QUEEN MOLA ENSACADA GULDI MACIO 25X158X198 AZUL E BRANCO;43.73997;88.12513939557073
GU364UP31VFGMOB-624275;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;30128450;COLCHAO CASAL MOLA ENSACADA GULDI FIRME 25X138X188 AZUL E BRANCO;35.78592;72.09971082281818
GU364UP31VFGMOB-624275;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;29747688;COLCHAO KING MOLA ENSACADA GULDI FIRME 25X193X203 AZUL E BRANCO;35.78592;72.09971082281818
GU364UP31VFGMOB-624275;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;29603044;COLCHAO SOLTEIRO MOLA ENSACADA GULDI FIRME 25X88X188 AZUL E BRANCO;35.78592;72.09971082281818
GU364UP31VFGMOB-624275;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;52013462;COLCHAO KING MOLA ENSACADA GULDI 25X193X203 BRANCO E AZUL;31.251505;62.96399458999117
GU364UP31VFGMOB-624275;COLCHAO QUEEN MOLA ENSACADA GULDI FIRME 25X158X198 AZUL E BRANCO;51581428;COLCHAO SOLTEIRO MOLA ENSACADA GULDI 25X88X188 BRANCO E AZUL;31.251505;62.96399458999117
