catalog_sku,id_product,catalog_desc,similar_desc,catalog_preco_medio,preco_medio,catalog_categoria,categoria,catalog_marca,marca,catalog_cor,cor,catalog_atributo_1,atributo_1,catalog_atributo_2,atributo_2,catalog_atributo_3,atributo_3,catalog_atributo_4,atributo_4,catalog_atributo_5,atributo_5,catalog_atributo_6,atributo_6
7898602824031,72135560,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS COM ESPELHO 4 GAVETAS 100 MDF LONDON YESCASA BRANCO,1029.98,2008.83,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,YESCASA,marrom branco,BRANCO,sim,SIM,mdf/mdp,MDF,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
7898602824031,72135639,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS 4 GAVETAS 100 MDF LONDON YESCASA,1029.98,1692.5,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,NAO INFORMADO,marrom branco,NAO INFORMADO,sim,SIM,mdf/mdp,MDF,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
7898602824031,75780840,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS 4 GAVETAS 100 MDF LONDON YESCASA BRANCO,1029.98,1752.53,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,YESCASA,marrom branco,BRANCO,sim,SIM,mdf/mdp,MDF,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
7898602824031,75780842,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL COM ESPELHOS 3 PORTAS 4 GAVETAS 100 MDF LONDON YESCASA,1029.98,1971.03,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,NAO INFORMADO,marrom branco,NAO INFORMADO,sim,SIM,mdf/mdp,MDF,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
7898602824031,76210513,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS 4 GAVETAS 100 MDF LONDON YESCASA AVENAGRAFITO,1029.98,1694.63,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,YESCASA,marrom branco,MARROM CINZA,sim,SIM,mdf/mdp,MDF,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
7898602824031,77232678,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS 4 GAVETAS 100 MDF LONDON YESCASA BRANCO,1029.98,1569.42,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,YESCASA,marrom branco,BRANCO,sim,NAO INFORMADO,mdf/mdp,MDF,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
7898602824031,90091166,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS COM ESPELHO 4 GAVETAS COSTA RICA SALLETO MOVEIS CINAMOMOOFF,1029.98,1039.23,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,SALLETO MOVEIS,marrom branco,MARROM BRANCO,sim,SIM,mdf/mdp,NAO INFORMADO,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
7898602824031,108730758,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL COM ESPELHOS 3 PORTAS 4 GAVETAS 100 MDF LONDON YESCASA BRANCO,1029.98,1433.0,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,YESCASA,marrom branco,BRANCO,sim,SIM,mdf/mdp,MDF,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
7898602824031,109044219,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS 4 GAVETAS 100 MDF LONDON YESCASA AVENAGRAFITO,1029.98,1615.73,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,YESCASA,marrom branco,MARROM CINZA,sim,NAO INFORMADO,mdf/mdp,MDF,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
7898602824031,134500829,GUARDA-ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL DEL PLATA 3 PORTAS 4 GAVETAS COM ESPELHO CINAMOMOOFF WHITE PANORAMA MOVEIS,1029.98,1443.9,GUARDA-ROUPAS,GUARDA ROUPAS,sallêto móveis,NAO INFORMADO,marrom branco,MARROM BRANCO,sim,SIM,mdf/mdp,NAO INFORMADO,não informado,NAO INFORMADO,"208 cm x 185,5 cm x 47 cm",NAO INFORMADO,4,4,3,3
